file      ,AGGREGATE_BLOCKING_SINK:AggComputeTime ,AGGREGATE_BLOCKING_SINK:AggFuncComputeTime ,AGGREGATE_BLOCKING_SINK:GetResultsTime ,AGGREGATE_BLOCKING_SINK:ResultGroupByAppendTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:AggComputeTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:GetResultsTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:ResultGroupByAppendTime ,AGGREGATE_DISTINCT_STREAMING_SINK:AggComputeTime ,AGGREGATE_DISTINCT_STREAMING_SINK:GetResultsTime ,AGGREGATE_STREAMING_SINK:AggComputeTime ,AGGREGATE_STREAMING_SINK:AggFuncComputeTime ,AGGREGATE_STREAMING_SINK:GetResultsTime ,EXCHANGE_SINK:NetworkTime ,EXCHANGE_SINK:OverallTime ,EXCHANGE_SINK:SerializeChunkTime ,EXCHANGE_SINK:ShuffleChunkAppendTime ,EXCHANGE_SINK:ShuffleHashTime ,EXCHANGE_SINK:WaitTime ,HASH_JOIN_BUILD:BuildHashTableTime ,HASH_JOIN_BUILD:CopyRightTableChunkTime ,HASH_JOIN_BUILD:RuntimeFilterBuildTime ,HASH_JOIN_PROBE:OutputBuildColumnTime ,HASH_JOIN_PROBE:OutputProbeColumnTime ,HASH_JOIN_PROBE:SearchHashTableTime ,LOCAL_PARALLEL_MERGE_SOURCE:OverallStageTime ,LOCAL_SORT_SINK:BuildingTime ,LOCAL_SORT_SINK:OutputTime ,LOCAL_SORT_SINK:SortingTime ,OLAP_SCAN:IOTaskExecTime ,OLAP_SCAN:IOTaskWaitTime ,OLAP_SCAN:PrepareChunkSourceTime ,OLAP_SCAN:ScanTime ,OLAP_SCAN:SubmitTaskTime ,PROJECT:CommonSubExprComputeTime ,PROJECT:ExprComputeTime ,RESULT_SINK:AppendChunkTime
10020.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                404.698 ,                                            ,                                        ,                          ,                 2372.000 ,                                 ,                                     ,                              ,              1992.000 ,                                   ,                                        ,                                       ,                              803.321 ,                                      ,                            627.481 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
10229.sql ,                               510.306 ,                                   324.696 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 1023.000 ,                                 ,                                     ,                              ,               622.208 ,                                   ,                                        ,                                       ,                                      ,                                      ,                            379.624 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
10247.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                               1184.000 ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                             1506.000 ,                                      ,                           5754.000 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                256.407 ,
10455.sql ,                               246.014 ,                                   134.908 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                               3850.000 ,                                   2428.000 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                             1140.000 ,                                      ,                            594.742 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
10530.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 1186.000 ,                                 ,                                     ,                              ,               589.704 ,                                   ,                                        ,                                       ,                              347.535 ,                                      ,                            752.586 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
10555.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                245.118 ,                                    118.551 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                  70.839 ,                         ,                                 ,           100.057 ,                  70.910 ,                         141.433 ,                132.333 ,
10578.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                  167.915 ,                   90.785 ,                                 ,                                     ,                              ,                       ,                            11.214 ,                                 14.133 ,                                12.367 ,                               45.642 ,                               54.134 ,                            101.291 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
10711.sql ,                                28.531 ,                                           ,                                 8.679 ,                                          5.807 ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                   39.837 ,                                 ,                               8.437 ,                              ,                18.914 ,                                   ,                                        ,                                       ,                                      ,                                3.543 ,                             10.790 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
10748.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                    8.315 ,                   31.746 ,                                 ,                                     ,                              ,                       ,                             1.359 ,                                  2.866 ,                                 0.713 ,                                1.586 ,                                      ,                              4.256 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
10911.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  295.899 ,                                 ,                                     ,                              ,               163.797 ,                            17.629 ,                                 27.097 ,                                12.242 ,                              100.069 ,                                      ,                             81.773 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
